Index,EndTime,SongName,ArtistName,msPlayed,Popularity,SongID,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms
28,2021-05-30 19:05,Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,258342,75,14rZjW3RioG7WesZhYESso,0.483,0.192,4,-15.378,0,0.0469,0.991,0.908,0.106,0.0542,100.848,140733
29,2021-05-30 19:06,Somebody That I Used To Know,Gotye,36057,63,1xugsCboIm1yILqpLvH9aD,0.25,0.136,10,-12.162,1,0.037,0.673,0.000157,0.107,0.0981,118.086,292333
30,2021-05-30 19:09,River Flows In You,Yiruma,188786,87,2ZRo7axmMPeSVUvDbGkJah,0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,110886
31,2021-05-30 19:11,"Comptine d'un autre été, l'après-midi",Yann Tiersen,140733,62,2GjMaJ7DacMIkgoe8oMXGg,0.572,0.75,1,-5.042,0,0.0604,0.0946,0.0,0.378,0.475,144.081,182627
32,2021-05-30 19:14,You Raise Me Up,Josh Groban,178866,69,4BiiOzZCrXEzHRLYcYFiD5,0.773,0.699,1,-5.982,0,0.0958,0.488,3.6e-06,0.0814,0.513,104.941,180120
33,2021-05-30 19:16,Hope,XXXTENTACION,110886,69,5iCY0TXNImK4hyKfcplQsg,0.475,0.124,2,-9.463,1,0.0444,0.926,0.0,0.0972,0.19,94.42,207310
34,2021-05-30 19:20,Close To Me,Ellie Goulding,13450,49,28TpzUIZmbj2Va4E0FkcFa,0.598,0.43,11,-11.236,1,0.0544,0.186,0.0,0.0924,0.0843,91.923,98508
35,2021-05-30 19:20,Hope,The Chainsmokers,180120,69,0HTb4JfMtMkMYUtyd19In3,0.658,0.539,3,-7.043,1,0.0433,0.857,1.45e-06,0.0999,0.461,80.088,235297
36,2021-05-30 19:24,Baarishein,Anuv Jain,207309,80,57BGVV6wcyhbn3hsjlqEZB,0.772,0.878,2,-4.22,1,0.324,0.0301,2.18e-06,0.251,0.305,61.311,135747
37,2021-05-30 19:25,Why Did I Answer?,Porsche Love,98507,0,1Tkhv9DzXOk5a4iIuRw0KW,0.879,0.574,10,-5.602,0,0.391,0.519,8.76e-06,0.144,0.346,144.911,243463
