SongName,EndTime,ArtistName,msPlayed,SongID,Popularity
Save Your Tears (with Ariana Grande) (Remix),2021-05-30 23:39,The Weeknd,191013,3b34OS7148VGiURvWTYweJ,40
deja vu,2021-05-30 23:43,Olivia Rodrigo,215507,4ZtFanR9U6ndgddUvNcjcG,95
Beautiful Mistakes (feat. Megan Thee Stallion),2021-05-30 23:55,Maroon 5,38415,3b34OS7148VGiURvWTYweJ,40
Sygrayem (Let's Play),2021-05-31 11:28,Carlos Rafael Rivera,0,3fGW43fnu3OHEw6ohTC2Bw,74
good 4 u,2021-05-31 11:28,Olivia Rodrigo,0,4qu63nuBpdn0qHUHuObEj1,87
Sygrayem (Let's Play),2021-05-31 11:31,Carlos Rafael Rivera,0,4ZtFanR9U6ndgddUvNcjcG,95
Our Song,2021-05-31 13:22,Anne-Marie,163733,7BoobGhD4x5K96Me0hqC8Q,82
Leave Before You Love Me (with Jonas Brothers),2021-05-31 13:24,Marshmello,154983,5K6Ssv4Z3zRvxt0P6EKUAP,85
good 4 u,2021-05-31 13:27,Olivia Rodrigo,178147,1rek5HfnFLCDbike8u23ur,0
Build a Bitch,2021-05-31 13:30,Bella Poarch,122772,5iCY0TXNImK4hyKfcplQsg,69
Heartbreak Anthem (with David Guetta & Little Mix),2021-05-31 13:45,Galantis,140762,1rN9QoVxw5U7TJkyaUR8C1,75
Dior,2021-05-31 16:22,Pop Smoke,7650,5iCY0TXNImK4hyKfcplQsg,69
Baarishein,2021-05-31 16:34,Anuv Jain,207309,1rN9QoVxw5U7TJkyaUR8C1,75
unravel,2021-05-31 16:35,TK from Ling tosite sigure,52180,2XpV9sHBexcNrz0Gyf3l18,73
Baarishein,2021-05-31 16:35,Anuv Jain,24710,1sfCj3Z2NO0hJuh9Go9Tff,0
unravel,2021-05-31 17:27,TK from Ling tosite sigure,186445,1BncfTJAWxrsxyT9culBrj,81
ブルーバード,2021-05-31 17:29,Ikimonogakari,138710,57BGVV6wcyhbn3hsjlqEZB,80
Lucid Dreams,2021-05-31 18:05,Juice WRLD,192770,2r6OAV3WsYtXuXjvJ1lIDi,82
Experience,2021-06-01 07:03,Ludovico Einaudi,328695,2AlYncTpVHKwHb55F9lF6O,72
Element,2021-06-01 08:32,Pop Smoke,135746,3Byz6Mk9WCNYeGthiDVti2,72
Hello (feat. A Boogie Wit da Hoodie),2021-06-01 08:36,Pop Smoke,190534,6gbiTbclnHlmSIPfmF2zEc,78
Deep End Freestyle,2021-06-01 08:38,Sleepy Hallow,115200,3fGW43fnu3OHEw6ohTC2Bw,74
Beware,2021-06-01 08:42,Big Sean,235186,6gbiTbclnHlmSIPfmF2zEc,78
Gang Shit No Lame Shit,2021-06-01 08:44,Key Glock,97341,5iCY0TXNImK4hyKfcplQsg,69
Our Song,2021-06-01 09:25,Anne-Marie,31637,0PMNxtgeNSmPPp4aiA4T8F,64
Gang Shit No Lame Shit,2021-06-01 09:25,Key Glock,5473,06kxa3al7bUqRRo5nAFduZ,66
Baarishein,2021-06-01 12:03,Anuv Jain,207309,5O2P9iiztwhomNh8xkR9lJ,85
Sideways,2021-06-01 12:04,ILLENIUM,4781,2O9O26335YYVckmRgPKY3s,66
Nightlight,2021-06-01 12:08,ILLENIUM,206640,6lanRgr6wXibZr8KgzXxBl,82
Night Changes,2021-06-01 12:21,One Direction,63060,3I4cCWNM3jK1Hhk5Qs3rPF,36
Alive,2021-06-01 14:05,Empire of the Sun,204546,7hn8Q8WAxFdL4aZ159GI7C,66
A Thousand Years,2021-06-01 14:08,Christina Perri,827,3b34OS7148VGiURvWTYweJ,40
I Know It's You,2021-06-01 14:08,Guards,69233,1BncfTJAWxrsxyT9culBrj,81
A Thousand Years (feat. Steve Kazee) - Pt. 2; The Twilight Saga: Breaking Dawn Soundtrack,2021-06-01 14:13,Christina Perri,305893,1BncfTJAWxrsxyT9culBrj,81
Sygrayem (Let's Play),2021-06-02 01:13,Carlos Rafael Rivera,0,44LTFkrvoxE2qflp8GEqKw,50
Experience,2021-06-02 06:27,Ludovico Einaudi,328695,6bdq6oMieSnPmcwrolEQgV,52
Experience,2021-06-02 06:27,Ludovico Einaudi,18504,62G1ewSNbKaxSMqcmfgxeq,41
Main Title,2021-06-02 06:29,Carlos Rafael Rivera,109896,3mPt3UzwsHD5YBgui50BED,41
Beth's Story,2021-06-02 06:31,Carlos Rafael Rivera,127615,0Bnh732W1DVmnXtV6mhk1U,42
Methuen Home For Children 1957,2021-06-02 06:32,Carlos Rafael Rivera,74045,17hoQV3FJxZnJUvccgAjLF,45
The Scholar's Mate,2021-06-02 06:34,Carlos Rafael Rivera,78496,4ZtFanR9U6ndgddUvNcjcG,95
You're Gloating,2021-06-02 06:36,Carlos Rafael Rivera,66447,748mdHapucXQri7IAO8yFK,90
Training With Mr. Schaibel,2021-06-02 06:55,Carlos Rafael Rivera,66949,5nujrmhLynf4yMoMtj8AQF,89
good 4 u,2021-06-02 09:33,Olivia Rodrigo,178147,1mWdTewIgB3gtBM3TOSFhB,88
Kiss Me More (feat. SZA),2021-06-02 09:36,Doja Cat,208866,1SC5rEoYDGUK4NfG82494W,91
Levitating (feat. DaBaby),2021-06-02 09:41,Dua Lipa,203064,5iCY0TXNImK4hyKfcplQsg,69
Butter,2021-06-02 09:43,BTS,164441,1xtkLqZcGPQZP9549WlmfH,60
MONTERO (Call Me By Your Name),2021-06-02 09:46,Lil Nas X,123113,5iCY0TXNImK4hyKfcplQsg,69
